title,score,developer,publisher
Dr. Mario,6.6,Nintendo,Nintendo
Duel Masters: Kaijudo Showdown,6.6,Mistic Software,Atari SA
Excitebike,6.6,Nintendo,Nintendo
Hot Wheels: Burnin' Rubber,6.6,Altron,THQ
007: NightFire,6.6,Eurocom,Electronic Arts
Juka and the Monophonic Menace,6.6,"Orbital Media, Inc.",SouthPeak Games
Lara Croft - Tomb Raider: The Prophecy,6.6,Ubisoft Milan,Ubisoft
Mega Man Battle Network 5: Team Colonel,6.6,Capcom,Capcom
Pitfall: The Lost Expedition (2004),6.6,Torus Games,Activision
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",6.6,Traveller's Tales,Buena Vista Games
World Championship Poker: Deluxe Series,6.6,Coresoft,Crave
WTA Tour Tennis,6.6,Konami,Konami
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,6.6,Konami,Konami
A Sound of Thunder,6.5,Mobius Entertainment,Bam Entertainment
Advance Guardian Heroes,6.5,Treasure,Ubisoft
Curious George,6.5,Monkey Bar Games,Namco
Dark Arena,6.5,Graphic State,Majesco
Dexter's Laboratory: Deesaster Strikes!,6.5,Virtucraft,Bam Entertainment
Disney/Pixar Ratatouille (2007),6.5,Helixe,THQ
Disney presents Home on the Range,6.5,Artificial Mind and Movement,Disney Interactive
Freekstyle,6.5,Page 44 Studios,EA Sports Big
Jim Henson's The Muppets: On With The Show!,6.5,Vicarious Visions,TDK Mediactive
Jurassic Park III: Park Builder,6.5,Konami,Konami
Mazes of Fate,6.5,Sabarasa Entertainment,O3 Entertainment
Monster Force,6.5,Digital Eclipse,Universal Interactive
Spider-Man 2 (2004),6.5,Vicarious Visions,Activision
Teenage Mutant Ninja Turtles 2: Battle Nexus,6.5,KCE Studios,Konami
Tetris Worlds,6.5,3d6 Games,THQ
Avatar: The Last Airbender,6.4,AWE Games,THQ
Dinotopia: The Timestone Pirates,6.4,RFX Interactive,TDK Mediactive
Disney's The Lion King 1 1/2,6.4,Vicarious Visions,Disney Interactive
Fortress (2001),6.4,Pipe Dream Interactive,Majesco
Harry Potter and the Sorcerer's Stone,6.4,Warthog,EA Games
High Heat Major League Baseball 2003,6.4,3DO,3DO
Onimusha Tactics,6.4,Capcom,Capcom
