title,score,developer,publisher
Spitfire Heroes: Tales of the Royal Air Force,,Big John Games,Destineer
Spirit Hunters Inc: Shadow,,Nnooo,Nnooo
Spirit Hunters Inc: Light,,Nnooo,Nnooo
Spin Six,,Zener Works,Nintendo
Spider-Man: Edge of Time (DS),,Other Ocean Interactive,Activision
Spectral Force Genesis,,Idea Factory,Ignition Entertainment
Space Invaders Revolution,,Marvelous Entertainment,Mastiff
Space Bust-A-Move,,Taito Corporation,Square Enix
SNK vs. Capcom Card Fighters DS,,SNK Playmore,SNK Playmore
Sherlock Holmes and the Mystery of Osborne House,,Frogwares,THQ
Shaun the Sheep,,Art,D3Publisher
Sega Casino,,TOSE,Sega
SBK: Snowboard Kids,,Racjin,Atlus
Sands of Destruction,,Imageepoch,Sega
Roogoo Attack,,SpiderMonk,SouthPeak Games
River King: Mystic Valley,,TOSE,Natsume
Ridge Racer DS,,Nintendo Software Technology,Namco
Rhythm 'n Notes: Improve Your Music Skills,,Beyond Interactive,Agetec
Retro Atari Classics,,Taniko,Atari SA
Red Bull BC One,,Smack Down Productions,Ignition Entertainment
Real Time Conflict: Shogun Empires,,Box Clever Interactive,Namco
Ratatouille,,Helixe,THQ
Rainbow Islands Revolution,,Marvelous Entertainment,Codemasters
Ragnarok DS,,TOSE,XSEED Games
Race Driver: Create & Race,,Firebrand Games,Codemasters
QuickSpot (2006),,Namco,Namco Bandai Games
Puzzle de Harvest Moon,,Platinum Egg,Natsume
Puchi Puchi Virus,,Keys Factory,NIS America
Princess Debut,,Cave,Natsume
Primrose,,Sabarasa Entertainment,Sabarasa Entertainment
Prey the Stars,,Koei Canada,Koei
Populous DS,,Genki,XSEED Games
Pop Island,,odenis studio,odenis studio
Pop Cutie! Street Fashion Simulation,,Koei,Koei
Pony Friends,,Tantalus,Eidos Interactive
Pogo Island,,EA Canada,EA Games
Pirates: Duels on the High Seas,,Oxygen Interactive,Oxygen Interactive
Ping Pals,,WayForward,THQ
Pinball Pulse: The Ancients Beckon,,Fuse Games Limited,Nintendo
PictoImage,,Skonec,Sega
PictoChat,,Nintendo,Nintendo
Pet Alien: An Intergalactic Puzzlepalooza,,Shin'en,The Game Factory
Personal Trainer: Walking,,Creatures Inc.,Nintendo
Personal Trainer: Math,,Jupiter Corporation,Nintendo
Paper Airplane Chase,,Nintendo,Nintendo
Pac 'n Roll,,Namco,Namco
Over the Hedge: Hammy Goes Nuts!,,Amaze Entertainment,Activision
Over the Hedge,,Vicarious Visions,Activision
Original Frisbee Disc Sports: Ultimate & Golf,,Skyworks Technologies,Destination Software
Operation: Vietnam,,Coyote Console,Majesco
Ontamarama,,Noise Factory,Atlus
Okamiden,,Capcom,Capcom
Nintendogs: Best Friends,,Nintendo,Nintendo
Nintendo DSi Metronome,,Nintendo,Nintendo
Nintendo DS,,Nintendo,Nintendo
New Zealand Story Revolution,,Marvelous Entertainment,Ignition Entertainment
New International Track & Field,,Sumo Digital,Konami
Neves,,Yuke's,Yuke's
Naruto Shippuden: Shinobi Retsuden 3,,DreamFactory,Takara Tomy
Naruto Shippuden: Ninja Council 4,,Aspect,Tomy Corporation
Naruto Shippuden: Naruto vs. Sasuke,,Takara Tomy,Tomy Corporation
Naruto: Ninja Council 3,,Aspect,D3Publisher
Nancy Drew: The Mystery of the Clue Bender Society,,Gorilla Systems,Majesco
Nancy Drew: The Deadly Secret of Olde World Park,,Gorilla Systems,Majesco
Nacho Libre,,BudCat,Majesco
Mystery Case Files: MillionHeir,,Griptonite Games,Nintendo
My Weight Loss Coach,,Ubisoft Montreal,Ubisoft
My Pet Shop,,Taito Corporation,Square Enix
My Japanese Coach,,Sensory Sweep,Ubisoft
My Frogger: Toy Trials,,Konami,Konami
My DoItAll,,Rocket Studio,Tomy Corporation
Mushroom Men: Rise of the Fungi,,Red Fly Studio,Gamecock Media Group
Mr. Driller: Drill till you Drop,,Namco Bandai Games,Namco Bandai Games
Moto Racer DS,,Artefacts Studio,SouthPeak Games
Monster Trucks DS,,Skyworks Technologies,Majesco
Monster Rancher DS,,Cing,UFO Interactive
Monster Bomber,,Taito Corporation,Majesco
Monopoly / Boggle / Yahtzee / Battleship,,Sensory Sweep,Atari SA
Mister Slime,,Lexis Numerique,SouthPeak Games
Miss Spider's Sunny Patch Friends: Harvest Time Hop and Fly,,Shin'en,The Game Factory
Mighty Milky Way,,WayForward,WayForward
Miami Nights: Singles in the City,,Gameloft,Ubisoft
Miami Law,,Hudson Entertainment,Hudson Entertainment
Meteos: Disney Magic,,Q Entertainment,Buena Vista Games
Mega Brain Boost,,Interchannel-Holon,Majesco
Mechanic Master,,Most Wanted Entertainment,Midway
Master of the Monster Lair,,Global A,Atlus
Master of Illusion,,Eighting,Nintendo
Master Jin Jin's IQ Challenge,,Astroll,Valcon Games
Major League Baseball 2K8: Fantasy All-Stars,,Deep Fried Entertainment,Take-Two Interactive
Magnetica,,Mitchell,Nintendo
Mage Knight: Destiny's Soldier,,Big Blue Bubble Inc.,Namco Bandai Games
Lux-Pain,,Killaware,Ignition Entertainment
Lost in Blue 3,,Matrix Software,Konami
Lost in Blue 2,,Matrix Software,Konami
Looney Tunes: Duck Amuck,,WayForward,Warner Bros. Interactive Entertainment
Looney Tunes: Cartoon Conductor,,Amaze Entertainment,Eidos Interactive
Little Red Riding Hood's Zombie BBQ,,EnjoyUp Games,Destineer
Lionel Trains On Track,,Black Lantern Studios,DSI Games
Link 'n' Launch,,Intelligent Systems,Nintendo
LifeSigns: Surgical Unit,,Spike,DreamCatcher Interactive
Legends of Exidia,,Gameloft,Gameloft
Left Brain Right Brain 2,,Kokolo Corporation,Majesco
Konductra,,oeFun,O3 Entertainment
Konami Classics Series: Arcade Hits,,M2,Konami
Journey to the Center of the Earth,,Human Soft,THQ
Jonas,,Altron,Disney Interactive Studios
John Deere: Harvest in the Heartland,,Black Lantern Studios,Destineer
Jewel Quest: Expeditions,,Elephant Games,Activision Value
Jewel Master: Egypt,,Cerasus Media,Storm City Games
Jam Sessions 2,,Plato,Ubisoft
Jam Sessions,,Plato,Ubisoft
Jake Hunter: Memories of the Past,,WorkJam,Aksys Games
Jake Hunter: Detective Chronicles,,WorkJam,Aksys Games
Inkheart,,DreamCatcher Interactive,DreamCatcher Interactive
Infinite Space,,PlatinumGames,Sega
Igor the Game (2008),,Artefacts Studio,SouthPeak Games
Hurry Up Hedgehog!,,Ivolgamus,Oxygen Interactive
Horse Life,,Neko Entertainment,D3Publisher
Honeycomb Beat,,Hudson,Hudson
History Great Empires: Rome,,Slitherine,Valcon Games
Disney High School Musical 2: Work This Out!,,Artificial Mind and Movement,Disney Interactive Studios
Hi Hi Puffy AmiYumi: The Genie & the Amp,,Sensory Sweep,D3Publisher
