title,score,developer,publisher,rom_name,size
Fantasy Zone,7.9,M2,Sega,Fantasy Life (USA).3ds,1073741824
Gurumin: A Monstrous Adventure,7.9,Falcom,Mastiff,,
Kirby's Adventure,7.9,Arika,Nintendo,,
Kirby's Extra Epic Yarn,7.9,Good-Feel,Nintendo,"Kirby's Extra Epic Yarn (USA) (En,Fr,Es).3ds",2147483648
Mighty Switch Force!,7.9,WayForward,WayForward,,
Miitopia,7.9,GREZZO,Nintendo,"Miitopia (USA) (En,Fr,Es).3ds",1073741824
Nintendo Pocket Football Club,7.9,ParityBit,Nintendo,,
Tom Clancy's Ghost Recon: Shadow Wars,7.9,Ubisoft,Ubisoft,"Tom Clancy's Ghost Recon - Shadow Wars (USA) (En,Fr,Es).3ds",268435456
ZEN Pinball 3D,7.9,Zen Studios,Zen Studios,,
Azure Striker Gunvolt 2,7.8,Inti Creates,Inti Creates,Azure Striker Gunvolt - Striker Pack (USA).3ds,1073741824
Code Name: S.T.E.A.M.,7.8,Intelligent Systems,Nintendo,Code Name - S.T.E.A.M. (USA).3ds,2147483648
Corpse Party,7.8,Team GrisGris,XSEED Games,Corpse Party (USA).3ds,1073741824
Fire Emblem Warriors,7.8,Omega Force,Nintendo,Fire Emblem If (Korea).3ds,2147483648
Fluidity: Spin Cycle,7.8,Curve Studios,Nintendo,,
Hakuoki: Memories of the Shinsengumi,7.8,Idea Factory,Aksys Games,Hakuoki - Memories of the Shinsengumi (USA).3ds,1073741824
Harvest Moon 3D: A New Beginning,7.8,Marvelous AQL,Natsume,Harvest Moon 3D - A New Beginning (USA).3ds,536870912
Mario and Donkey Kong: Minis on the Move,7.8,Nintendo,Nintendo,Mario vs. Donkey Kong - Minna de Mini-Land (Japan).3ds,268435456
Marvel Pinball 3D,7.8,Zen Studios,Zen Studios,,
Metal Gear Solid 3: Snake Eater,7.8,KCEJ,Konami,"Metal Gear Solid 3D - Snake Eater (USA) (En,Fr,Es).3ds",4294967296
New Super Mario Bros. 2,7.8,Nintendo,Nintendo,"New Super Mario Bros. 2 (USA) (En,Fr,Es).3ds",536870912
NightSky,7.8,Nicalis,Nicalis,,
Scribblenauts Unlimited,7.8,5TH Cell,Warner Bros. Interactive Entertainment,"Scribblenauts Unlimited (USA) (En,Fr,Es,Pt).3ds",536870912
Shin Megami Tensei: Devil Survivor Overclocked,7.8,Atlus,Atlus,Shin Megami Tensei - Devil Survivor Overclocked (USA) (Rev 1).3ds,2147483648
Story of Seasons: Trio of Towns,7.8,Marvelous Inc.,XSEED Games,Story of Seasons - Trio of Towns (USA).3ds,1073741824
Style Savvy: Fashion Forward,7.8,syn Sophia,Nintendo,Style Savvy - Fashion Forward (USA).3ds,1073741824
The Alliance Alive,7.8,Cattle Call,Atlus,"Alliance Alive, The (USA).3ds",2147483648
The Binding of Isaac: Rebirth,7.8,Nicalis,Nicalis,,
The Denpa Men: They Came By Wave,7.8,Genius Sonority Inc.,Genius Sonority Inc.,,
Tomodachi Life,7.8,Nintendo,Nintendo,Tomodachi Life (USA) (Rev 1).3ds,536870912
Yoshi's Woolly World,7.8,Good-Feel,Nintendo,"Poochy & Yoshi's Woolly World (USA) (En,Fr,Es) (Rev 1).3ds",2147483648
Apollo Justice: Ace Attorney,7.7,Capcom,Capcom,,
Attack of the Friday Monsters! A Tokyo Tale,7.7,Millennium Kitchen,Level 5,,
Conception II: Children of the Seven Stars,7.7,Spike Chunsoft,Atlus,Conception II - Children of the Seven Stars (USA).3ds,2147483648
Dillon's Dead-Heat Breakers,7.7,Vanpool,Nintendo,"Dillon's Dead-Heat Breakers (Europe) (En,Fr,De,Es,It).3ds",1073741824
"Freakyforms: Your Creations, Alive!",7.7,Asobism,Nintendo,"Freakyforms Deluxe - Your Creations, Alive! (USA) (En,Fr,Es).3ds",134217728
Fun! Fun! Minigolf TOUCH!,7.7,Shin'en,Shin'en,,
Inazuma Eleven Go: Light,7.7,Level 5,Level 5,"Inazuma Eleven Go - Light (Europe) (En,Fr,De,Es,It).3ds",4294967296
Kid Icarus,7.7,Arika,Nintendo,"Kid Icarus - Uprising (USA) (En,Fr,Es).3ds",2147483648
Kokuga,7.7,G.Rev,G.Rev,Kokuga (Japan).3ds,134217728
KORG M01D,7.7,Procyon Studio,DETUNE,,
Liberation Maiden,7.7,Grasshopper Manufacture,Level 5,,
Mega Man Legacy Collection,7.7,Digital Eclipse,Capcom,Mega Man Legacy Collection (USA).3ds,1073741824
Rusty's Real Deal Baseball,7.7,Nintendo,Nintendo,,
Samurai Warriors Chronicles,7.7,Omega Force,Koei Tecmo Games,Samurai Warriors - Chronicles (USA).3ds,2147483648
Sega 3D Classics Collection,7.7,M2,Sega,SEGA 3D Classics Collection (USA).3ds,268435456
Style Savvy: Trendsetters,7.7,syn Sophia,Nintendo,Style Savvy - Trendsetters (USA).3ds,2147483648
Super Little Acorns 3D Turbo,7.7,Pixel Toys,Pixel Toys,,
Tappingo 2,7.7,Goodbye Galaxy Games,Goodbye Galaxy Games,,
The Keep,7.7,Cinemax,Cinemax,,
Unchained Blades,7.7,FuRyu,XSEED Games,UnchainBlades ReXX (Japan).3ds,1073741824
Chibi-Robo! Photo Finder,7.6,Skip Ltd.,Nintendo,,
Culdcept Revolt,7.6,Omiya Soft,NIS America,Culdcept Revolt (USA).3ds,536870912
Dillon's Rolling Western,7.6,Vanpool,Nintendo,,
Mario & Luigi: Paper Jam,7.6,Alphadream Corporation,Nintendo,Mario & Luigi - Paper Jam (USA).3ds,536870912
Mercenaries Saga 2: Order Of The Silver Eagle,7.6,RideonJapan,CIRCLE Entertainment,,
Nano Assault,7.6,Shin'en,Majesco,Nano Assault (USA).3ds,268435456
Nano Assault EX,7.6,Shin'en,Majesco,Nano Assault (USA).3ds,268435456
Pokemon Art Academy,7.6,Headstrong Games,Nintendo,"Pokemon Art Academy (USA) (En,Fr,Es) (Rev 2).3ds",536870912
Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition,7.6,GungHo,Nintendo,Puzzle & Dragons Z + Puzzle & Dragons Super Mario Bros. Edition (USA).3ds,1073741824
Steel Diver: Sub Wars,7.6,Nintendo,Nintendo,"Steel Diver (USA) (En,Fr,Es).3ds",268435456
Super Hang-On,7.6,M2,Sega,,
The Denpa Men 2: Beyond The Waves,7.6,Genius Sonority Inc.,Genius Sonority Inc.,,
Toki Tori,7.6,Two Tribes,Two Tribes,,
Yumi's Odd Odyssey,7.6,Studio Saizensen,Natsume,,
Cooking Mama 4: Kitchen Magic,7.5,Cooking Mama Limited,Majesco,Cooking Mama 4 - Kitchen Magic (USA) (Rev 1).3ds,268435456
Disney Magical World,7.5,h.a.n.d. Inc.,Nintendo,Disney Magical World 2 (USA).3ds,2147483648
Fractured Soul,7.5,Endgame Studios,Endgame Studios,,
Hyrule Warriors,7.5,Omega Force,Nintendo,Hyrule Warriors Legends (USA).3ds,4294967296
Inazuma Eleven Go: Shadow,7.5,Level 5,Level 5,"Inazuma Eleven Go - Shadow (Europe) (En,Fr,De,Es,It).3ds",4294967296
LBX: Little Battlers eXperience,7.5,Level 5,Nintendo,"LBX - Little Battlers eXperience (USA) (En,Fr,Es).3ds",2147483648
Lord of Magna: Maiden Heaven,7.5,Marvelous Inc.,XSEED Games,Lord of Magna - Maiden Heaven (USA).3ds,2147483648
Nintendogs + Cats: Toy Poodle & New Friends,7.5,Nintendo,Nintendo,"Nintendogs + Cats - Toy Poodle & New Friends (USA) (En,Fr,Es) (Rev 2).3ds",536870912
One Piece: Unlimited World Red,7.5,Ganbarion,Bandai Namco Games,One Piece - Unlimited World Red (USA).3ds,2147483648
Paper Mario: Sticker Star,7.5,Intelligent Systems,Nintendo,"Paper Mario - Sticker Star (USA) (En,Fr,Es).3ds",1073741824
Weapon Shop de Omasse,7.5,Nex Entertainment,Level 5,,
Ridge Racer 3D,7.5,Xeen,Namco Bandai Games,"Ridge Racer 3D (USA) (En,Fr,Es).3ds",1073741824
Urban Trial Freestyle,7.5,Tate Multimedia,Tate Multimedia,,
Ace Combat: Assault Horizon Legacy,7.4,Project Aces ,Namco Bandai Games,"Ace Combat - Assault Horizon Legacy+ (USA) (En,Fr,Es).3ds",1073741824
Code of Princess,7.4,Studio Saizensen,Atlus,Code of Princess (USA).3ds,2147483648
Crush (2007),7.4,Zoe Mode,Sega,"Crush 3D (USA) (En,Fr,Es).3ds",536870912
Detective Pikachu,7.4,Creatures Inc.,Nintendo,"Detective Pikachu (USA) (En,Ja,Fr,De,Es,It,Zh).3ds",2147483648
HarmoKnight,7.4,Game Freak,Nintendo,,
Picross e,7.4,Jupiter Corporation,Jupiter Corporation,,
Project X Zone,7.4,Monolith Soft,Namco Bandai Games,Project X Zone 2 (USA).3ds,1073741824
Project X Zone 2,7.4,Monolith Soft,Bandai Namco Games,Project X Zone 2 (USA).3ds,1073741824
