title,score,developer,publisher,rom_name,size
Darkwatch,8.1,High Moon Studios,Capcom,Darkwatch (USA).iso,7825162240
FIFA Soccer 2005,8.1,EA Canada,EA Sports,FIFA Soccer 2005 (USA).iso,7825162240
Hitman: Blood Money,8.1,Io Interactive,Eidos Interactive,"Hitman - Blood Money (USA, Europe).iso",7825162240
Jurassic Park: Operation Genesis,8.1,Blue Tongue Entertainment,Universal Interactive,Jurassic Park - Operation Genesis (USA).iso,7825162240
Medal of Honor: Frontline,8.1,EA LA,EA Games,Medal of Honor - Frontline (USA).iso,7825162240
Midtown Madness 3,8.1,Digital Illusions,Microsoft Game Studios,Midtown Madness 3 (USA).iso,7825162240
Mortal Kombat: Deadly Alliance,8.1,Midway,Midway,Mortal Kombat - Deadly Alliance (USA).iso,7825162240
MX Unleashed,8.1,Rainbow Studios,THQ,MX Unleashed (USA).iso,7825162240
NFL Street,8.1,EA Tiburon,EA Sports,NFL Street 2 (USA).iso,7825162240
NHL Hitz 20-03,8.1,EA Black Box,Midway,NHL Hitz 2003 (USA).iso,7825162240
Phantom Dust (2005),8.1,Microsoft Game Studios Japan,Majesco,Phantom Dust (USA).iso,7825162240
Silent Hill 4: The Room,8.1,KCET,Konami,"Silent Hill 4 - The Room (USA) (En,Ja,Ko).iso",7825162240
Star Wars: Battlefront (2004),8.1,Pandemic Studios,LucasArts,"Star Wars - Battlefront II (USA) (En,Es,It) (Rev 1).iso",7825162240
Star Wars Jedi Knight II: Jedi Outcast,8.1,Raven Software,Activision,Star Wars - Jedi Knight II - Jedi Outcast (USA).iso,7825162240
Super Monkey Ball Deluxe,8.1,Sega,Sega,Super Monkey Ball Deluxe (USA).iso,7825162240
The Godfather,8.1,Page 44 Studios,Electronic Arts,"Godfather, The (Europe) (En,Nl,Sv,Da).iso",7825162240
The Sims Bustin' Out,8.1,Maxis,EA Games,"Sims, The - Bustin' Out (USA).iso",7825162240
Tom Clancy's Ghost Recon: Island Thunder,8.1,Red Storm Entertainment,Ubisoft,Tom Clancy's Ghost Recon - Island Thunder (USA).iso,7825162240
Advent Rising,8.0,GlyphX Games,Majesco,Advent Rising (USA).iso,7825162240
Battlefield 2: Modern Combat,8.0,Digital Illusions,EA Games,Battlefield 2 - Modern Combat (USA).iso,7825162240
Capcom vs. SNK 2,8.0,Capcom,Capcom,Capcom vs. SNK 2 EO (USA).iso,7825162240
Enter the Matrix,8.0,Shiny Entertainment,Infogrames,Enter the Matrix (USA) (Rev 1).iso,7825162240
FIFA 06: Road to FIFA World Cup,8.0,EA Canada,EA Sports,2002 FIFA World Cup (USA).iso,7825162240
Mega Man Anniversary Collection,8.0,Atomic Planet Entertainment,Capcom,Mega Man Anniversary Collection (USA).iso,7825162240
Mortal Kombat: Shaolin Monks,8.0,Midway Studios - Los Angeles,Midway,"Mortal Kombat - Shaolin Monks (USA, Europe) (En,Fr,De,Es,It).iso",7825162240
MX vs. ATV Unleashed,8.0,Rainbow Studios,THQ,MX vs. ATV Unleashed (USA).iso,7825162240
Obscure,8.0,Hydravision,DreamCatcher Interactive,ObsCure (USA).iso,7825162240
Otogi: Myth of Demons,8.0,From Software,Sega,Otogi - Myth of Demons (USA).iso,7825162240
Sega Soccer Slam,8.0,EA Black Box,Sega,Sega Soccer Slam (USA).iso,7825162240
Sid Meier's Pirates!,8.0,Firaxis Games,Atari SA,"Sid Meier's Pirates! (USA, Europe) (En,Fr,De,Es,It).iso",7825162240
Sonic Heroes,8.0,Sonic Team,Sega,"Sonic Heroes (USA) (En,Ja,Fr,De,Es,It).iso",7825162240
Star Wars: The Clone Wars,8.0,Pandemic Studios,LucasArts,Star Wars - The Clone Wars (USA).iso,7825162240
The Lord of the Rings: The Two Towers,8.0,Stormfront Studios,EA Games,"Lord of the Rings, The - The Two Towers (USA).iso",7825162240
The Urbz: Sims in the City,8.0,Maxis,EA Games,"Urbz, The - Sims in the City (USA).iso",7825162240
Tom Clancy's Ghost Recon 2,8.0,Red Storm Entertainment,Ubisoft,"Tom Clancy's Ghost Recon 2 (USA, Europe) (En,Fr,De,Es,It).iso",7825162240
Tony Hawk's Pro Skater 2x,8.0,Treyarch,Activision,Tony Hawk's Pro Skater 4 (USA).iso,7825162240
2002 FIFA World Cup,7.9,EA Sports,EA Sports,2002 FIFA World Cup (USA).iso,7825162240
Armed and Dangerous,7.9,Planet Moon Studios,LucasArts,Armed and Dangerous (USA).iso,7825162240
Buffy the Vampire Slayer,7.9,The Collective,Electronic Arts,Buffy the Vampire Slayer (USA).iso,7825162240
Castlevania: Curse of Darkness,7.9,Konami,Konami,Castlevania - Curse of Darkness (USA).iso,7825162240
Counter-Strike,7.9,Valve Software,Microsoft Game Studios,"Counter-Strike (USA) (En,Fr,Es,It,Ko).iso",7825162240
Deathrow,7.9,Southend Interactive,Ubisoft,Deathrow (USA).iso,7825162240
FlatOut,7.9,Bugbear,Empire Interactive,FlatOut (USA) (Beta).iso,1383624704
Harry Potter and the Prisoner of Azkaban,7.9,EA Games,EA Games,Harry Potter and the Prisoner of Azkaban (USA).iso,7825162240
Hunter: The Reckoning,7.9,High Voltage Software,Interplay,Hunter - The Reckoning - Redeemer (USA).iso,7825162240
MLB Slugfest 20-03,7.9,Midway,Midway,MLB SlugFest 2006 (USA).iso,7825162240
MTX Mototrax,7.9,Left Field Productions,Activision,MTX Mototrax (USA).iso,7825162240
Otogi 2: Immortal Warriors,7.9,From Software,Sega,Otogi 2 - Immortal Warriors (USA).iso,7825162240
Project: Snowblind,7.9,Crystal Dynamics,Eidos Interactive,Project - Snowblind (USA) (Beta) (2004-11-17).iso,582844416
Spider-Man: The Movie,7.9,Treyarch,Activision,Spider-Man 2 (World).iso,7825162240
Street Fighter Anniversary Collection,7.9,Capcom,Capcom,"Street Fighter Anniversary Collection (USA) (En,Ja).iso",7825162240
The Punisher,7.9,Volition Inc.,THQ,"Punisher, The (USA).iso",7825162240
Amped: Freestyle Snowboarding,7.8,Indie Built,Microsoft Game Studios,Amped - Freestyle Snowboarding (USA).iso,7825162240
BloodRayne,7.8,Terminal Reality,Majesco,BloodRayne 2 (USA).iso,7825162240
Burnout (2001),7.8,Criterion Games,Acclaim,Burnout (USA).iso,7825162240
