title,score,developer,publisher
Thunderbirds (2004),4.7,Saffire,VU Games
Superman: Countdown To Apokolips,4.7,Mistic Software,Atari SA
Looney Tunes: Back in Action (2003),4.7,Warthog,Electronic Arts
Ice Age,4.7,Artificial Mind and Movement,Ubisoft
Disney's Herbie: Fully Loaded,4.7,Climax Studios,Buena Vista Interactive
Barbie Software: Groovy Games,4.7,Digital Illusions,VU Games
Spirit: Stallion of the Cimarron (2002),4.6,Hyperspace Cowgirls,THQ
Scooby-Doo 2: Monsters Unleashed,4.6,Altron,THQ
R-Type III: The Third Lightning,4.6,Raylight Studios,Destination Software
E.T. The Extra-Terrestrial,4.6,Fluid Studios,NewKidCo
Tweety & The Magic Gems,4.5,Kemco,Kemco
Tak 2: The Staff of Dreams (2004),4.5,Helixe,THQ
The Legend of Spyro: A New Beginning (2006),4.4,Krome Studios,Sierra Entertainment
Jurassic Park III: The DNA Factor,4.4,Konami Computer Entertainment Hawaii,Konami
Buffy the Vampire Slayer: Wrath of the Darkhul King,4.4,Natsume,THQ
Justice League: Chronicles,4.3,Full Fat,Midway
Dragon Ball Z: Taiketsu,4.0,Webfoot Technologies,Atari SA
Beyblade G-Revolution,4.0,Full Fat,Atari SA
Around the World in 80 Days (2004),4.0,Saffire,Hip Games
Yu-Gi-Oh! Destiny Board Traveler,3.9,KCEJ,Konami
That's So Raven,3.9,Vicarious Visions,Buena Vista Interactive
Star Wars: Flight of the Falcon,3.9,Pocket Studios,THQ
Sports Illustrated for Kids: Baseball,3.9,Sennari Interactive,Bam Entertainment
Cartoon Network Speedway,3.9,DC Studios,Majesco
The Ripping Friends: The World's Most Manly Men!,3.8,Software Creations,THQ
Star Wars Episode II: Attack of the Clones,3.8,David A. Palmer Productions,THQ
Mighty Beanz: Pocket Puzzles,3.7,Radius9,Majesco
Defender (Game Boy Advance),3.7,OutLook Entertainment,Midway
Ozzy & Drix,3.6,Raylight Studios,Midway
Street Jam Basketball,3.5,Prograph,Destination Software
Yu Yu Hakusho - Ghost Files: Spirit Detective,3.3,Sensory Sweep,Atari SA
Mortal Kombat Advance,3.3,Virtucraft,Midway
Shrek Swamp Kart Speedway,2.7,Prolific,TDK Mediactive
Mucha Lucha! Mascaritas of the Lost Code,2.6,Digital Eclipse,Ubisoft
Thunder Alley (2004),2.3,Pronto Games,XS Games
Rock 'Em Sock 'Em Robots,2.1,Full Fat,DSI Games
