title,score,developer,publisher,rom_name,size
Disney's Cinderella: Magical Dreams,6.9,Culture Brain,Buena Vista Interactive,"Cinderella - Magical Dreams (USA) (En,Fr,De,Es,It).gba",8388608
American Bass Challenge,6.9,Starfish,Ubisoft,American Bass Challenge (USA).gba,4194304
Yu-Gi-Oh! World Championship Tournament 2004,6.8,KCEJ,Konami,"Yu-Gi-Oh! - World Championship Tournament 2004 (USA) (En,Ja,Fr,De,Es,It).gba",16777216
Marvel's The Invincible Iron Man,6.8,Torus Games,Activision,"Invincible Iron Man, The (USA, Europe).gba",4194304
Sigma Star Saga,6.8,WayForward,Namco,"Sigma Star Saga (USA, Europe).gba",8388608
Sea Trader: Rise of Taipan,6.8,Jaleco Entertainment,Jaleco Entertainment,Sea Trader - Rise of Taipan (USA).gba,4194304
Robopon 2: Ring Version,6.8,RED Entertainment,Atlus,Robopon 2 - Ring Version (USA).gba,8388608
Mega Man Battle Network 4: Red Sun,6.8,Capcom,Capcom,Megaman - Battle Network 2 (USA) (Debug Version).gba,8388608
Jazz Jackrabbit,6.8,Game Titan,Jaleco Entertainment,"Jazz Jackrabbit (USA, Europe).gba",4194304
Grand Theft Auto (Game Boy Advance),6.8,Digital Eclipse,Rockstar Games,Daisenryaku for Game Boy Advance (Japan).gba,8388608
Dr. Sudoku,6.8,Success,Mastiff,Dr. Sudoku (Europe).gba,4194304
Disney's Tarzan: Return to the Jungle,6.8,Digital Eclipse,Activision,"Tarzan - Return to the Jungle (USA, Europe).gba",8388608
Banjo-Pilot,6.8,Rare Ltd.,THQ,"Banjo-Pilot (Europe) (En,Fr,De,Es,It) (Beta 2) (2004-09-29).gba",16777216
Yu-Gi-Oh! GX: Duel Academy,6.7,Konami,Konami,Yu-Gi-Oh! GX - Duel Academy (USA).gba,33554432
Yu-Gi-Oh! Dungeon Dice Monsters,6.7,Konami,Konami,"Yu-Gi-Oh! - Dungeon Dice Monsters (USA) (En,Es).gba",8388608
Urban Yeti!,6.7,Cave Barn,Telegames,"Urban Yeti! (USA, Europe).gba",4194304
The Lord of the Rings: The Third Age (2004),6.7,Griptonite Games,EA Games,"Lord of the Rings, The - The Return of the King (USA) (Unl).gba",4194304
Pokemon Mystery Dungeon: Red Rescue Team,6.7,ChunSoft,Nintendo,"Pokemon Mystery Dungeon - Red Rescue Team (Europe) (En,Fr,De,Es,It).gba",33554432
Planet Monsters,6.7,Planet Interactive,Titus Software,"Planet Monsters (Europe) (En,Fr,De,Es,It,Nl).gba",4194304
Mega Man Battle Network 5: Team Protoman,6.7,Capcom,Capcom,Megaman - Battle Network 5 - Team Protoman (USA) (Virtual Console).gba,8388608
Mega Man Battle Network 4: Blue Moon,6.7,Capcom,Capcom,Megaman - Battle Network 2 (USA) (Debug Version).gba,8388608
Guilty Gear X Advance Edition,6.7,Arc System Works,Sammy Studios,Guilty Gear X - Advance Edition (Japan) (Beta).gba,8388608
F-14 Tomcat,6.7,Virtucraft,Majesco,"F-14 Tomcat (USA, Europe).gba",4194304
Crash Bandicoot Purple: Ripto's Rampage,6.7,Vicarious Visions,VU Games,Crash Bandicoot Purple - Ripto's Rampage (USA).gba,16777216
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,6.6,Konami,Konami,"Yu-Gi-Oh! - World Championship Tournament 2004 (USA) (En,Ja,Fr,De,Es,It).gba",16777216
Pitfall: The Lost Expedition (2004),6.6,Torus Games,Activision,Pitfall - The Lost Expedition (USA).gba,8388608
Mega Man Battle Network 5: Team Colonel,6.6,Capcom,Capcom,Megaman - Battle Network 5 - Team Colonel (USA) (Virtual Console).gba,8388608
Lara Croft - Tomb Raider: The Prophecy,6.6,Ubisoft Milan,Ubisoft,Lara Croft Tomb Raider - The Prophecy (Japan).gba,8388608
Hot Wheels: Burnin' Rubber,6.6,Altron,THQ,Hot Wheels - Burnin' Rubber (USA).gba,8388608
Duel Masters: Kaijudo Showdown,6.6,Mistic Software,Atari SA,Duel Masters - Kaijudo Showdown (USA).gba,8388608
Dr. Mario,6.6,Nintendo,Nintendo,"Dr. Muto (Europe) (En,Fr,De,Es,It).gba",8388608
Disney's Lilo & Stitch 2: Hamsterviel Havoc,6.6,Climax Studios,Disney Interactive,Lilo & Stitch 2 - Haemsterviel Havoc (USA).gba,8388608
Capcom Classics Mini Mix,6.6,Sensory Sweep,Capcom,Capcom Classics Mini Mix (USA).gba,4194304
